127.0.0.1 - - [05/Jul/2022:23:58:06 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:58:07 +0700] "GET /Web_Ban_Sach/view/Home.jsp HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/Home.jsp HTTP/1.1" 200 24269
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/css/stylesheet.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/css/sheet.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/css/styleDialog.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/css/styleHome.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/js/jquery-3.3.1.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/js/Cookies.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/image/logo.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00001.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00002.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00004.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00005.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00007.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00010.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00013.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/lib/image/categories/type00009.jpeg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:26 +0700] "GET /Web_Ban_Sach/view/image/logo.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:27 +0700] "GET /Web_Ban_Sach/view/image/LOGO.ico HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [05/Jul/2022:23:59:32 +0700] "GET /Web_Ban_Sach/view/login HTTP/1.1" 404 782
